"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664700011","1.4.50.1.2.1.4.3","57500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664700252","1.4.56.1.2.1.4.1","5100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664700253","1.4.56.1.2.1.4.2","37500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664700254","1.4.56.1.2.1.4.3","50100","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Other instructional programs [12]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664700495","1.4.62.1.2.1.4.1","0","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Other instructional programs [12]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664700496","1.4.62.1.2.1.4.2","","x","","","0"
"2018","Canada","2021A11124","Career, technical or professional training diploma","Other instructional programs [12]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664700497","1.4.62.1.2.1.4.3","","x","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664733962","1.7.1.1.2.1.4.1","98990","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664733963","1.7.1.1.2.1.4.2","57900","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Total, field of study","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664733964","1.7.1.1.2.1.4.3","70200","","","","0"
